"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Ryan Weber","NYY","1.93","0.00","1.00","1.93","6.7%","0.0%","6.7%",".133","0.43",".077","100.0%","51","136","99","1.93","5.47","-3.54","3.97","4.05","10160"
"Bennett Sousa","CHW","5.31","4.43","1.20","1.33","12.5%","10.4%","2.1%",".294","1.72",".314","50.3%","221","135","136","8.41","5.48","2.93","5.39","5.04","21345"
"Matthew Liberatore","STL","7.84","4.79","1.64","1.74","18.4%","11.2%","7.1%",".299","1.79",".338","76.4%","141","139","130","5.66","5.49","0.17","5.28","5.11","22294"
"Jacob Barnes","DET","4.35","3.92","1.11","1.31","11.2%","10.1%","1.1%",".266","1.45",".273","63.4%","159","139","131","6.10","5.49","0.61","5.19","5.08","12323"
"Glenn Otto","TEX","6.80","5.63","1.21","1.17","17.1%","14.1%","2.9%",".246","1.53",".277","68.0%","148","139","134","5.63","5.49","0.14","5.29","5.48","21366"
"Cam Vieaux","PIT","14.40","7.20","2.00","1.80","25.8%","12.9%","12.9%",".423","3.00",".588","47.9%","348","136","138","14.40","5.52","8.88","5.60","4.11","19529"
"Hunter Greene","CIN","11.31","3.89","2.91","2.43","28.9%","9.9%","18.9%",".233","1.34",".270","73.0%","130","131","102","5.72","5.53","0.18","4.12","3.76","22182"
"Tyler Matzek","ATL","8.44","7.59","1.11","0.84","21.3%","19.1%","2.1%",".167","1.41",".200","57.7%","118","138","154","5.06","5.55","-0.49","6.29","5.53","10058"
"Danny Young","SEA","12.27","4.91","2.50","2.45","25.0%","10.0%","15.0%",".389","2.45",".500","78.9%","201","144","91","7.36","5.57","1.79","3.65","3.43","18439"
"Yusei Kikuchi","TOR","10.63","5.17","2.06","2.01","26.3%","12.8%","13.5%",".245","1.52",".294","75.6%","119","142","105","4.74","5.57","-0.83","4.17","4.19","20633"
"Zach Thompson","PIT","6.56","3.66","1.79","1.83","16.8%","9.4%","7.4%",".251","1.39",".261","74.0%","107","138","112","4.42","5.57","-1.15","4.52","4.76","16094"
"Kyle Bradish","BAL","8.94","3.50","2.56","2.14","21.7%","8.5%","13.2%",".335","1.77",".396","66.1%","189","133","101","7.38","5.58","1.81","4.04","4.12","24586"
"Jon Heasley","KCR","7.00","4.80","1.46","1.60","17.4%","11.9%","5.5%",".251","1.51",".273","74.8%","133","144","134","5.20","5.60","-0.40","5.32","5.23","22224"
