"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"42",669912,"Snead, Kirby","255","16.5","0.333","0.250","0.333","0.583","0.416","0.382","0.302","4","12","83.8","-2.0","2637","85.8","85.41","3","17","25","-0.4","6.18","108","151","118","143","289","320","298"
"41",542881,"Anderson, Tyler","1155","3.5","0.273","0.000","0.333","0.273","0.241","0.303","0.330","3","11","83.3","18.0","2184","85.3","85.48","7","25","16","0.2","6.03","113","157","123","150","304","326","295"
"41",671790,"Bolaños, Ronald","332","12.3","0.273","0.000","0.333","0.273","0.281","0.304","0.274","3","11","93.4","-3.0","2211","88.4","89.28","2","15","26","0.9","6.63","103","148","112","146","311","333","307"
"40",543507,"May, Trevor","154","26.0","0.400","0.100","0.400","0.500","0.419","0.438","0.398","4","10","88.9","10.1","1977","92.3","93.41","2","20","20","1.1","7.07","105","149","106","134","297","326","309"
"40",663474,"McKenzie, Triston","1211","3.3","0.143","0.143","0.167","0.286","0.294","0.240","0.112","1","7","78.3","5.4","2223","89.7","90.69","1","15","25","1.0","6.88","109","154","118","149","307","326","299"
"40",682171,"Murfee, Penn","446","9.0","0.273","0.091","0.375","0.364","0.276","0.229","0.242","3","11","85.9","33.4","2469","84.6","84.40","4","24","16","-0.2","6.37","110","148","115","144","282","323","293"
"39",644364,"Arano, Víctor","369","10.6","0.273","0.000","0.375","0.273","0.241","0.172","0.172","3","11","88.0","-5.0","2313","88.9","88.73","6","19","20","-0.2","6.17","103","150","115","144","297","309","282"
"39",605195,"Crick, Kyle","279","14.0","0.000","0.000","0.000","0.000","0.086","0.241","0.161","0","7","79.1","26.4","2664","84.9","84.74","3","18","21","-0.2","6.22","108","152","110","146","295","326","297"
"39",542947,"Bleier, Richard","322","12.1","0.500","0.375","1.000","0.875","0.596","0.331","0.231","4","8","99.0","16.5","2015","86.0","86.66","5","22","17","0.7","6.64","105","147","113","149","301","317","297"
"39",621295,"Wittgren, Nick","481","8.1","0.222","0.000","0.222","0.222","0.286","0.496","0.367","2","9","88.3","14.0","2002","86.9","87.77","1","14","25","0.9","6.82","115","153","109","148","295","321","294"
"39",663531,"Allen, Logan","164","23.8","0.250","0.000","0.286","0.250","0.318","0.394","0.334","2","8","91.7","8.9","2088","85.1","84.39","4","18","21","-0.7","5.77","102","150","108","149","299","318","298"
"39",592761,"Smith, Caleb","682","5.7","0.167","0.000","0.167","0.167","0.365","0.383","0.168","1","6","81.1","-4.0","2274","87.0","85.94","2","15","24","-1.1","5.77","106","149","118","147","298","319","292"
"38",607229,"Gsellman, Robert","207","18.4","0.333","0.083","0.400","0.417","0.326","0.272","0.251","4","12","82.3","-1.4","2023","90.2","89.95","8","19","19","-0.2","6.29","104","149","109","147","297","308","282"
"38",676534,"Faucher, Calvin","238","16.0","0.300","0.400","0.250","0.700","0.446","0.608","0.401","3","10","93.5","21.3","2650","89.8","88.61","5","18","20","-1.2","5.62","120","160","113","152","309","325","297"
"38",676831,"Whitley, Kodi","272","14.0","0.000","0.000","0.000","0.000","0.086","0.172","0.108","0","7","85.7","9.6","2038","88.7","88.82","4","24","14","0.1","6.39","108","153","115","149","300","328","305"
"38",621114,"Burr, Ryan","149","25.5","0.111","0.333","0.000","0.444","0.276","0.415","0.330","1","9","96.1","21.0","2257","90.6","91.52","5","21","17","0.9","6.77","113","153","106","145","297","323","303"
"37",622075,"Almonte, Yency","278","13.3","0.250","0.083","0.375","0.333","0.253","0.139","0.145","3","12","79.2","6.3","2361","87.9","88.61","8","23","14","0.7","6.62","111","155","118","148","300","321","286"
